店名,ジャンル,住所,電話番号,定休日,営業時間,URL,媒体
大宮ガーデンファーム 大宮店,ダイニングバー、イタリアン、カフェ,埼玉県さいたま市大宮区大門町1-69 武蔵屋ビル 1F,050-5456-1759,無休,■,https://tabelog.com/saitama/A1101/A110101/11046883/,tabelog
Italianbar ATTACHMENT 2nd 大宮店,イタリアン、ダイニングバー、カフェ,埼玉県さいたま市大宮区桜木町2-159 B1F,050-5872-7438,無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11057348/,tabelog
アロハテーブル ルミネ大宮,カフェ、バーベキュー、ダイニングバー,埼玉県さいたま市大宮区錦町630 ルミネ大宮店ルミネ2 4F,050-5868-8357,不定休,月〜日：11：00 〜 22：00,https://tabelog.com/saitama/A1101/A110101/11004960/,tabelog
春水堂 ルミネ大宮店,カフェ、スイーツ、台湾料理,埼玉県さいたま市大宮区錦町630 ルミネ大宮1 2F,050-5590-7830,不定休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11043984/,tabelog
カフェレストラン パルテール(パレスホテル大宮),ビュッフェ、洋食、カフェ,埼玉県さいたま市大宮区桜木町1-7-5 パレスホテル大宮 1F,050-5868-3242,無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11000720/,tabelog
kawara CAFE＆DINING 大宮店,ダイニングバー、居酒屋、カフェ,埼玉県さいたま市大宮区桜木町2-3 DOMショッピングセンターPART1 B1F,050-5869-5609,無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11032238/,tabelog
SORA,カフェ、サンドイッチ、スイーツ,埼玉県さいたま市大宮区仲町1-80 もりくま4ビル 1F,050-5595-8493,|,掲載なし,https://tabelog.com/saitama/A1101/A110101/11064085/,tabelog
THE PUBLIC COFFEE,カフェ、サンドイッチ、スイーツ,埼玉県さいたま市大宮区宮町1-71-5 マギービル 1F,050-5593-8225,年中無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11062344/,tabelog
ブッシュウィック グリル さいたま新都心店,カフェ、ダイニングバー、ステーキ,埼玉県さいたま市大宮区吉敷町4-263-1 コクーンシティ コクーン2 1F,050-5593-9695,無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11044760/,tabelog
駿河屋 大宮そごう店,甘味処、和菓子,埼玉県さいたま市大宮区桜木町1-6-2 そごう大宮店 5F,048-646-2111,不定休,月〜日：10：00 〜 20：00,https://tabelog.com/saitama/A1101/A110101/11000724/,tabelog
FUKUROKUEN CAFE,カフェ、洋食、バー,埼玉県さいたま市大宮区土手町1-33-2 ジェイドパレス 1F,050-5596-8192,|,土・日：15：00〜18：00,https://tabelog.com/saitama/A1101/A110101/11065887/,tabelog
北海道十勝 佃商店,ソフトクリーム、カフェ,埼玉県さいたま市大宮区上小町996,048-871-7720,無休,月・火・木〜日：11：00 〜 19：00,https://tabelog.com/saitama/A1101/A110101/11057932/,tabelog
キッズカフェ,カフェ,埼玉県さいたま市大宮区大成町3-47 鉄道博物館本館1F キッズプラザ内,048-662-2920,|,年末年始）,https://tabelog.com/saitama/A1101/A110103/11044768/,tabelog
BECK'S COFFEE SHOP 大宮新幹線店,カフェ、パン,埼玉県さいたま市大宮区錦町630 大宮駅新幹線改札内待合室,080-3554-1835,無休,月〜日：06：30 〜 21：00,https://tabelog.com/saitama/A1101/A110101/11003878/,tabelog
レモネード・バイ・レモニカ コクーンシティ店,ジューススタンド,埼玉県さいたま市大宮区吉敷町4-263-1,048-782-7822,無休,月〜日：10：00 〜 21：00,https://tabelog.com/saitama/A1101/A110101/11054491/,tabelog
シェ・シブヤ 東町本店,ケーキ、カフェ、マカロン,埼玉県さいたま市大宮区東町2-120-1,048-778-7273,|,掲載なし,https://tabelog.com/saitama/A1101/A110101/11019178/,tabelog
ベルフィオーレカフェ・ビアーレ,カフェ,埼玉県さいたま市大宮区浅間町2-4-1,048-649-1200,無休,月・火・木〜日：09：00 〜 19：15,https://tabelog.com/saitama/A1101/A110101/11018809/,tabelog
グラットン ベアーズ ベーカリー 大宮店,パン、カフェ,埼玉県さいたま市大宮区吉敷町4-263-1 コクーンシティ2 1F,048-788-1023,無休,月〜日：09：00 〜 21：00,https://tabelog.com/saitama/A1101/A110101/11055055/,tabelog
スターバックスコーヒー さいたま新都心 コクーンシティ コクーン2店,カフェ,埼玉県さいたま市大宮区吉敷町4-263-1 コクーン2 2F,048-650-7331,不定休,月〜日：10：00 〜 21：00,https://tabelog.com/saitama/A1101/A110101/11040027/,tabelog
スターバックス コーヒー ルミネ大宮 LUMINE2店,カフェ,埼玉県さいたま市大宮区錦町630 ルミネ大宮店 ルミネ2 3Ｆ,048-648-1107,不定休,月〜日：07：00 〜 23：00,https://tabelog.com/saitama/A1101/A110101/11001942/,tabelog
