店名,ジャンル,住所,電話番号,定休日,営業時間,URL,媒体,normalized_name,normalized_address,duplicate_score,chain_flag,mall_flag,exclude_reason
Italianbar ATTACHMENT 2nd 大宮店,イタリアン、ダイニングバー、カフェ,埼玉県さいたま市大宮区桜木町2-159 B1F,050-5872-7438,無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11057348/,tabelog,italianbarattachment2nd,埼玉県さいたま市大宮区桜木町2-159,0,false,false,
カフェレストラン パルテール(パレスホテル大宮),ビュッフェ、洋食、カフェ,埼玉県さいたま市大宮区桜木町1-7-5 パレスホテル大宮 1F,050-5868-3242,無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11000720/,tabelog,カフェレストランパルテルパレスホテル大宮,埼玉県さいたま市大宮区桜木町1-7-5パレスホテル大宮,0,false,false,
FUKUROKUEN CAFE,カフェ、洋食、バー,埼玉県さいたま市大宮区土手町1-33-2 ジェイドパレス 1F,050-5596-8192,|,土・日：15：00〜18：00,https://tabelog.com/saitama/A1101/A110101/11065887/,tabelog,ukurokuencae,埼玉県さいたま市大宮区土手町1-33-2ジェイドパレス,0,false,false,
北海道十勝 佃商店,ソフトクリーム、カフェ,埼玉県さいたま市大宮区上小町996,048-871-7720,無休,月・火・木〜日：11：00 〜 19：00,https://tabelog.com/saitama/A1101/A110101/11057932/,tabelog,北海道十勝,埼玉県さいたま市大宮区上小町996,0,false,false,
レモネード・バイ・レモニカ コクーンシティ店,ジューススタンド,埼玉県さいたま市大宮区吉敷町4-263-1,048-782-7822,無休,月〜日：10：00 〜 21：00,https://tabelog.com/saitama/A1101/A110101/11054491/,tabelog,レモネドバイレモニカコク,埼玉県さいたま市大宮区吉敷町4-263-1,0,false,false,
シェ・シブヤ 東町本店,ケーキ、カフェ、マカロン,埼玉県さいたま市大宮区東町2-120-1,048-778-7273,|,掲載なし,https://tabelog.com/saitama/A1101/A110101/11019178/,tabelog,シェシブヤ東町,埼玉県さいたま市大宮区東町2-120-1,0,false,false,
ベルフィオーレカフェ・ビアーレ,カフェ,埼玉県さいたま市大宮区浅間町2-4-1,048-649-1200,無休,月・火・木〜日：09：00 〜 19：15,https://tabelog.com/saitama/A1101/A110101/11018809/,tabelog,ベルフィオレカフェビアレ,埼玉県さいたま市大宮区浅間町2-4-1,0,false,false,
ベーカリーアンドスタジオアンク,パン、カフェ,埼玉県さいたま市大宮区吉敷町1-112-4 1F,048-607-7728,|,掲載なし,https://tabelog.com/saitama/A1101/A110101/11028763/,tabelog,ベカリアンドスタジオアンク,埼玉県さいたま市大宮区吉敷町1-112-4,0,false,false,
カフェ アレトロ,喫茶店,埼玉県さいたま市大宮区宮町1-27 大栄橋下,048-641-1145,土日祝祭日第一火曜日第四火曜日第五火曜日,月〜金：11：00 〜 17：00,https://tabelog.com/saitama/A1101/A110101/11041055/,tabelog,カフェアレトロ,埼玉県さいたま市大宮区宮町1-27大栄橋下,0,false,false,
サントリーバー山崎 大宮店,バー、カフェ、パブ,埼玉県さいたま市大宮区仲町1-94,048-644-6618,無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11017948/,tabelog,サントリバ山崎,埼玉県さいたま市大宮区仲町1-94,0,false,false,
タリーズコーヒー 大宮ソニックシティー店,カフェ,埼玉県さいたま市大宮区桜木町1-7-5,048-658-5020,無休,"月〜金：07：30 〜 19：00
土：08：00 〜 19：00
日：09：00 〜 19：00",https://tabelog.com/saitama/A1101/A110101/11018239/,tabelog,タリズコヒ大宮ソニック,埼玉県さいたま市大宮区桜木町1-7-5,0,false,false,
ALL MY TEA 大宮店,ティースタンド、カフェ,埼玉県さいたま市大宮区大門町2-13-3,048-657-8345,無休,"月：12：00 〜 17：00
火〜土：10：00 〜 19：00
日：12：00 〜 18：00",https://tabelog.com/saitama/A1101/A110101/11056515/,tabelog,allmytea,埼玉県さいたま市大宮区大門町2-13-3,0,false,false,
洋風ごはん α,洋食、カフェ,埼玉県さいたま市大宮区桜木町1-177,048-643-3900,|,掲載なし,https://tabelog.com/saitama/A1101/A110101/11041957/,tabelog,洋風ごはんα,埼玉県さいたま市大宮区桜木町1-177,0,false,false,
カフェパティオ,レストラン、カフェ,埼玉県さいたま市大宮区高鼻町4-219 埼玉県立歴史と民俗の博物館 2F,048-641-0890,|,火〜日・祝日：10：30 〜 16：00,https://tabelog.com/saitama/A1101/A110101/11035861/,tabelog,カフェパティオ,埼玉県さいたま市大宮区高鼻町4-219埼玉県立歴史と民俗の博物館,0,false,false,
紅茶屋さん,カフェ、カレー、スリランカ料理,埼玉県さいたま市大宮区三橋4-233-2,048-622-5931,不定休,"月〜日：10：00 〜 18：00
月〜日：10：00〜18：00
月〜日：11：00〜17：00
月〜日：12：00〜14：00",https://tabelog.com/saitama/A1101/A110101/11035735/,tabelog,紅茶屋さん,埼玉県さいたま市大宮区三橋4-233-2,0,false,false,
トマキュウレモン,喫茶店、パスタ,埼玉県さいたま市大宮区宮町1-96,048-641-5576,無休,月〜土：11：00 〜 20：00,https://tabelog.com/saitama/A1101/A110101/11040090/,tabelog,トマキュウレモン,埼玉県さいたま市大宮区宮町1-96,0,false,false,
シナグロ オーガニックサラダ＆カフェ そごう大宮店,オーガニック、カフェ,埼玉県さいたま市大宮区桜木町1-6-2 そごう大宮店3F,048-788-1660,年中無休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11047289/,tabelog,シナグロオガニックサラダ&カフェそごう,埼玉県さいたま市大宮区桜木町1-6-2そごう大宮店,0,false,false,
いしがまやハンバーグ さいたま新都心,ハンバーグ、ステーキ、パンケーキ,埼玉県さいたま市大宮区吉敷町4-263-1 cocoon2 1F,048-643-5258,不定休,掲載なし,https://tabelog.com/saitama/A1101/A110101/11039377/,tabelog,いしがまやハンバグさいたま新都心,埼玉県さいたま市大宮区吉敷町4-263-1cocoon2,0,false,false,
氷川だんご屋,甘味処、和菓子、かき氷,埼玉県さいたま市大宮区高鼻町2-12,048-644-3782,|,火〜日：09：30 〜 18：30,https://tabelog.com/saitama/A1101/A110101/11053049/,tabelog,氷川だんご屋,埼玉県さいたま市大宮区高鼻町2-12,0,false,false,
UCCカフェメルカード 大宮そごう店,カフェ,埼玉県さいたま市大宮区桜木町1-6-2 そごう大宮店 B1F,048-648-1328,日,月〜日：10：00 〜 20：00,https://tabelog.com/saitama/A1101/A110101/11024813/,tabelog,uccカフェメルカド大宮そごう,埼玉県さいたま市大宮区桜木町1-6-2そごう大宮店,0,false,false,
スターバックスコーヒー さいたま新都心コクーンシティ コクーン1店,カフェ,埼玉県さいたま市大宮区吉敷町4-267-2 コクーンシティ,048-711-5991,不定休,月〜日：07：00 〜 22：30,https://tabelog.com/saitama/A1101/A110101/11053740/,tabelog,スタバックスコヒさいたま新都心コクンシティコクン1,埼玉県さいたま市大宮区吉敷町4-267-2コク-ンシティ,0,false,false,
